ParticipantID,Trial,FixationNo,StartTime,EndTime,Duration,PositionX,PositionY,PupilSize,EyeUsed,Order,Task
caro2,1,1,4,324,322,68840,366.9,501700,RIGHT,2,Count
caro2,1,2,374,524,152,64890,657.6,532100,RIGHT,2,Count
caro2,1,3,558,708,152,85280,724.1,521400,RIGHT,2,Count
caro2,1,4,760,962,204,77560,308.7,514200,RIGHT,2,Count
caro2,1,5,1012,1202,192,41700,579.1,540100,RIGHT,2,Count
caro2,1,6,1238,2082,846,16680,569.6,559900,RIGHT,2,Count
caro2,1,7,2096,2652,558,13610,576.5,555100,RIGHT,2,Count
caro2,1,8,2672,3334,664,16320,573.7,542700,RIGHT,2,Count
caro2,1,9,3356,3610,256,10130,621.4,553100,RIGHT,2,Count
caro2,1,10,3638,3876,240,20730,619,540500,RIGHT,2,Count
caro2,1,11,3898,4244,348,14400,637.7,544700,RIGHT,2,Count
caro2,1,12,4268,4884,618,25060,644,534100,RIGHT,2,Count
caro2,1,13,4908,5212,306,18260,692,530000,RIGHT,2,Count
caro2,1,14,5250,5718,470,32770,572.3,534200,RIGHT,2,Count
caro2,1,15,5742,6436,696,39130,585,523400,RIGHT,2,Count
caro2,1,16,6450,6814,366,36520,591.1,518300,RIGHT,2,Count
caro2,1,17,6836,7174,340,42690,592.9,521300,RIGHT,2,Count
caro2,1,18,7202,7836,636,52760,572.7,518200,RIGHT,2,Count
caro2,1,19,7852,8354,504,51450,601.5,520500,RIGHT,2,Count
caro2,1,20,8364,8600,238,50610,626.3,517800,RIGHT,2,Count
caro2,1,21,8618,8880,264,54910,640.4,517300,RIGHT,2,Count
caro2,1,22,8896,9202,308,51090,666.7,510800,RIGHT,2,Count
caro2,1,23,9232,9400,170,44320,738.9,506800,RIGHT,2,Count
caro2,1,24,9436,9718,284,67540,706.4,505800,RIGHT,2,Count
caro2,1,25,9744,10054,312,67150,633.4,505900,RIGHT,2,Count
caro2,1,26,10072,10250,180,65160,598.2,500100,RIGHT,2,Count
caro2,1,27,10264,10666,404,62520,591.5,493000,RIGHT,2,Count
caro2,1,28,10676,10940,266,62040,571.9,494400,RIGHT,2,Count
