ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeUsed,Order,Task
caro2,1,1,326,372,48,68640,36230,64630,642.5,393.55,168.21,FALSE,DOWN,7.16,RIGHT,2,Count
caro2,1,2,526,556,32,65120,65680,85770,728.6,284.57,149.2,FALSE,RIGHT,4.58,RIGHT,2,Count
caro2,1,3,710,758,50,85010,72580,78560,315.2,514.18,228.43,FALSE,UP,10.44,RIGHT,2,Count
caro2,1,4,964,1010,48,77060,30900,41380,581.2,408.92,217.74,FALSE,LEFT,10.17,RIGHT,2,Count
caro2,1,5,1204,1236,34,41510,57610,17180,568.8,248.43,142.88,FALSE,LEFT,4.87,RIGHT,2,Count
caro2,1,6,2084,2094,12,15910,57220,13320,574.8,48.3,40.73,FALSE,LEFT,0.51,RIGHT,2,Count
caro2,1,7,2654,2670,18,13400,57790,18650,562.1,82.26,54.59,FALSE,RIGHT,1.1,RIGHT,2,Count
caro2,1,8,3336,3354,20,15530,58220,9250,619.8,104.35,72.36,FALSE,LEFT,1.53,RIGHT,2,Count
caro2,1,9,3612,3636,26,10010,62500,22120,605.1,160.3,91.02,FALSE,RIGHT,2.42,RIGHT,2,Count
caro2,1,10,3878,3896,20,20670,62030,13780,637.3,95.33,66.19,FALSE,LEFT,1.41,RIGHT,2,Count
caro2,1,11,4246,4266,22,14740,64110,24980,630.9,141.78,89.48,FALSE,RIGHT,2.03,RIGHT,2,Count
caro2,1,12,4886,4906,22,25700,64680,18170,692.8,127.74,81.12,FALSE,LEFT,1.85,RIGHT,2,Count
caro2,1,13,5214,5248,36,18010,69410,34740,561.9,226.61,126.02,FALSE,RIGHT,4.62,RIGHT,2,Count
caro2,1,14,5720,5740,22,32820,57740,40280,578.8,106.88,66.62,FALSE,RIGHT,1.51,RIGHT,2,Count
caro2,1,15,6438,6448,12,38610,57970,36170,589.8,50.39,43.7,FALSE,LEFT,0.55,RIGHT,2,Count
caro2,1,16,6816,6834,20,37050,59090,43580,591,96.06,61.29,FALSE,RIGHT,1.32,RIGHT,2,Count
caro2,1,17,7176,7200,26,42950,59260,53790,563.4,154.3,87.66,FALSE,RIGHT,2.34,RIGHT,2,Count
caro2,1,18,7838,7850,14,52600,57660,51110,600.3,53.81,44.9,FALSE,DOWN,0.67,RIGHT,2,Count
caro2,1,19,8356,8362,8,51260,60870,50870,619.1,37.21,35.49,FALSE,.,0.27,RIGHT,2,Count
caro2,1,20,8602,8616,16,50530,62840,55180,633,73.52,55.38,FALSE,RIGHT,0.96,RIGHT,2,Count
caro2,1,21,8882,8894,14,54820,64550,50890,659.6,72.6,58.42,FALSE,LEFT,0.87,RIGHT,2,Count
caro2,1,22,9204,9230,28,51190,66850,44290,739.2,123.9,79.84,FALSE,DOWN,2.21,RIGHT,2,Count
caro2,1,23,9402,9434,34,44170,73980,68610,699.7,261.85,146.84,FALSE,RIGHT,5.04,RIGHT,2,Count
